date,Bleu HC,Bleu HP,Blanc HC,Blanc HP,Rouge HC,Rouge HP,Inconnu,,
2022-04-07 00:00:00 +0200,1555.705,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-08 00:00:00 +0200,1557.601,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-09 00:00:00 +0200,1557.601,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-10 00:00:00 +0200,1557.601,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-11 00:00:00 +0200,1562.795,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-12 00:00:00 +0200,1566.999,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-13 00:00:00 +0200,1566.999,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-14 00:00:00 +0200,1569.146,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-15 00:00:00 +0200,1569.146,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-16 00:00:00 +0200,1569.146,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-17 00:00:00 +0200,1574.856,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-18 00:00:00 +0200,1596.036,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-19 00:00:00 +0200,1607.704,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-20 00:00:00 +0200,1607.704,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-21 00:00:00 +0200,1610.236,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-22 00:00:00 +0200,1610.236,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-23 00:00:00 +0200,1615.023,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-24 00:00:00 +0200,1624.966,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-25 00:00:00 +0200,1624.966,120.783,37.963,1.802,2.911,0.753,1628.134,,
